id;document_no;decree_no;title;details;keywords;pages;decree_date;year;notes;pdf_file;pdf_file_content_type;pdf_file_url;word_file;word_file_content_type;word_file_url;extra_pdf_file;extra_pdf_file_content_type;extra_pdf_file_url;decree_status;remarks;is_hidden;hide_notes;hide_end_date
1;Credit;Ways exploit SQL;real-time;client-driven Borders;Colon Incredible;81887;2022-01-13;65725;tertiary;../fake-data/blob/hipster.png;image/png;Row;../fake-data/blob/hipster.png;image/png;Pine;../fake-data/blob/hipster.png;image/png;Parkway Sol black;CANCELLED;Kids;false;Investment Loan;2022-01-13
2;Berkshire;compressing Electronics Assistant;knowledge virtual Metrics;Metal withdrawal;Integration;5926;2022-01-13;18176;Web;../fake-data/blob/hipster.png;image/png;Ethiopia Vietnam International;../fake-data/blob/hipster.png;image/png;firewall Specialist quantify;../fake-data/blob/hipster.png;image/png;Sleek system;DRAWN;Concrete content COM;true;Via Bedfordshire;2022-01-13
3;Kids Home;Towels;firewall moratorium Exclusive;Research impactful;Car Program;52730;2022-01-13;92388;Cheese system bus;../fake-data/blob/hipster.png;image/png;Orchestrator architecture Handcrafted;../fake-data/blob/hipster.png;image/png;morph real-time;../fake-data/blob/hipster.png;image/png;Ridges Berkshire;CANCELLED;Associate;true;Tuna calculating override;2022-01-13
4;Plastic;indexing Wooden;Green;digital user-centric;AGP bluetooth;21259;2022-01-13;59768;Plastic;../fake-data/blob/hipster.png;image/png;compelling;../fake-data/blob/hipster.png;image/png;24/7 ability;../fake-data/blob/hipster.png;image/png;Awesome;DRAWN;even-keeled Sleek Baby;true;EXE e-enable;2022-01-13
5;Group Massachusetts deploy;hack Cambridgeshire invoice;Unbranded Sausages;Mouse;Creative Bhutan;17892;2022-01-12;230;green;../fake-data/blob/hipster.png;image/png;Home South generate;../fake-data/blob/hipster.png;image/png;transform deposit application;../fake-data/blob/hipster.png;image/png;Lodge;ACTIVE;transition;true;Baht Account South;2022-01-13
6;Shoals Bedfordshire workforce;contextually-based Licensed;Regional Account navigating;Open-architected Music;Park Dollar;74738;2022-01-13;36960;Account Analyst repurpose;../fake-data/blob/hipster.png;image/png;compressing blue;../fake-data/blob/hipster.png;image/png;customized Turkish RAM;../fake-data/blob/hipster.png;image/png;Coordinator Liaison;CANCELLED;haptic;true;Flat;2022-01-13
7;Ohio Communications Kroon;parsing;disintermediate deposit;robust Wooden;Customer copy Sausages;52272;2022-01-12;51631;Car Sausages;../fake-data/blob/hipster.png;image/png;Loan mobile;../fake-data/blob/hipster.png;image/png;Account cross-platform;../fake-data/blob/hipster.png;image/png;USB;DRAWN;monitor Solutions;true;partnerships Cayman;2022-01-13
8;Group User-centric;architecture;archive Mexico Communications;deposit;Borders Avon Borders;73490;2022-01-13;13611;migration;../fake-data/blob/hipster.png;image/png;Tools Engineer withdrawal;../fake-data/blob/hipster.png;image/png;incubate;../fake-data/blob/hipster.png;image/png;applications application payment;DRAWN;Rupee Berkshire;false;models;2022-01-13
9;Salad Armenian;Account;China Bacon digital;hacking Kip;throughput Generic;56290;2022-01-12;37349;Armenia niches program;../fake-data/blob/hipster.png;image/png;Republic;../fake-data/blob/hipster.png;image/png;firewall monitor;../fake-data/blob/hipster.png;image/png;Fantastic ivory Granite;DRAWN;Investment;true;Manat Unbranded;2022-01-12
10;function Mountain;invoice Delaware RAM;Web Horizontal Rubber;HDD;Guilder Concrete Group;77734;2022-01-13;95309;Buckinghamshire Wooden;../fake-data/blob/hipster.png;image/png;Kyat Connecticut;../fake-data/blob/hipster.png;image/png;Regional Movies Toys;../fake-data/blob/hipster.png;image/png;grey Account;DRAWN;Sports Chief Peso;false;bypassing;2022-01-13
