id;title;description;type;year;file_pdf;file_pdf_content_type;file_pdf_url;file_word;file_word_content_type;file_word_url;is_active
1;synergy e-business;bandwidth calculating bluetooth;Loan JSON Estates;96407;../fake-data/blob/hipster.png;image/png;Heights European;../fake-data/blob/hipster.png;image/png;bluetooth;false
2;e-enable Direct;Human turquoise XSS;programming;68092;../fake-data/blob/hipster.png;image/png;Handmade SMTP;../fake-data/blob/hipster.png;image/png;Colorado Intranet;false
3;copy synergies;alarm cyan;mindshare bluetooth HDD;90796;../fake-data/blob/hipster.png;image/png;Avon olive;../fake-data/blob/hipster.png;image/png;application Borders;false
4;granular;Austria;Salad;66803;../fake-data/blob/hipster.png;image/png;Market;../fake-data/blob/hipster.png;image/png;Computer hacking;true
5;alarm CSS brand;microchip Health Synergistic;Principal Steel Licensed;83809;../fake-data/blob/hipster.png;image/png;Illinois bluetooth;../fake-data/blob/hipster.png;image/png;next-generation deposit;false
6;Estonia West Strategist;RAM;system-worthy Industrial;70520;../fake-data/blob/hipster.png;image/png;Future AGP;../fake-data/blob/hipster.png;image/png;Quality archive Markets;false
7;Avon heuristic Korean;Refined;core;19295;../fake-data/blob/hipster.png;image/png;program;../fake-data/blob/hipster.png;image/png;Extended holistic;false
8;Home Sports;Manager;solid;7494;../fake-data/blob/hipster.png;image/png;payment Berkshire;../fake-data/blob/hipster.png;image/png;markets Berkshire vortals;false
9;(Bouvetoya) teal Kids;deliverables;granular Bacon;73393;../fake-data/blob/hipster.png;image/png;blue;../fake-data/blob/hipster.png;image/png;cyan Nebraska;false
10;Borders Automotive Ergonomic;infomediaries;Supervisor;74393;../fake-data/blob/hipster.png;image/png;hack stable;../fake-data/blob/hipster.png;image/png;dot-com Dynamic Loan;true
